name,n,mean_degree,degree_cv,diameter,growth_dimension_estimate
cycle_64,64,2.0,0.0,32,0.9169949703385405
grid2_15x15,225,3.7333333333333334,0.12876968840942818,28,1.561843112016352
grid3_7x7x7,343,5.142857142857143,0.15214515486254612,18,1.9561468973000062
grid4_5x5x5x5,625,6.4,0.15309310892394862,16,2.2688352768441
binary_tree_depth7,255,1.992156862745098,0.5009678152711049,14,2.051362977703886
complete_64,64,63.0,0.0,1,
