s_merge	s_preserve	s_split	R_merge_u1	R_preserve_u1	R_split_u1	highest_response_class
1	2	3	0.36787944117144233	0.1353352832366127	0.049787068367863944	merge
1	3	2	0.36787944117144233	0.049787068367863944	0.1353352832366127	merge
2	1	3	0.1353352832366127	0.36787944117144233	0.049787068367863944	preserve
2	3	1	0.1353352832366127	0.049787068367863944	0.36787944117144233	split
3	1	2	0.049787068367863944	0.36787944117144233	0.1353352832366127	preserve
3	2	1	0.049787068367863944	0.1353352832366127	0.36787944117144233	split
