script_id,source_set,relative_path,sha256,line_count,executable_top_level_nodes,execution_id,execution_reused_by_hash,run_status,return_code,adaptation,stdout_log,stderr_log
PY-0001,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_Abelian_Charged_Solver_v9_2026-07-31.py,4df244f8a8b933d385dac744c5df9707ad836a3dea88d2961741470cb1a72c30,14,0,PYU-0008,False,no_executable_logic,0,none,logs/PYU-0008_stdout.txt,logs/PYU-0008_stderr.txt
PY-0002,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_Charged_Pulsation_BVP_v14_2026-07-31.py,9e8fa983a8e74a9622d95e9dcaca2e92ad9f70914c012dd5d60034fc5e491184,182,1,PYU-0016,False,expected_interface_guard,1,none,logs/PYU-0016_stdout.txt,logs/PYU-0016_stderr.txt
PY-0003,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_Symbolic_Verifier_v13_2026-07-31.py,1069695438e99023b8dce64a50a178f17c21160765c490d4654a8769fc4a665e,61,30,PYU-0002,False,execution_failed,1,none,logs/PYU-0002_stdout.txt,logs/PYU-0002_stderr.txt
PY-0004,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_background_continuation_solver_2026-07-31.py,c4573389d495102f4041d373a21b16eecfd8c11e1bd39abf8bf2641e591b317f,55,16,PYU-0020,False,executed_successfully,0,literal /mnt/data redirected to isolated temporary data directory,logs/PYU-0020_stdout.txt,logs/PYU-0020_stderr.txt
PY-0005,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/Geometry_Omega_pulsation_solver_preliminary_v6_2026-07-31.py,5785a026722f750dd20f9c9f0d083f6f4eea1c25ac6ebeeed229f6e133cdf535,71,3,PYU-0010,False,executed_successfully,0,literal /mnt/data redirected to isolated temporary data directory; packaged profile copied into isolated data directory,logs/PYU-0010_stdout.txt,logs/PYU-0010_stderr.txt
PY-0006,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/einstein_omega_solver.py,4f8b3d187364f5c1b5e1c36080063ee2e033b0fa95334d3900d002e119bd07a1,7,0,PYU-0009,False,no_executable_logic,0,none,logs/PYU-0009_stdout.txt,logs/PYU-0009_stderr.txt
PY-0007,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/CODIGO_PYTHON/omega_qball_solver.py,a08befeab58287ef1acfa4a60d36bfac0f561165182166a1fe5a6d540450aa4f,35,5,PYU-0017,False,executed_successfully,0,none,logs/PYU-0017_stdout.txt,logs/PYU-0017_stderr.txt
PY-0008,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/11_CODIGO_Y_REPRODUCIBILIDAD/Geometry_Omega_Abelian_Charged_Solver_v9_2026-07-31.py,4df244f8a8b933d385dac744c5df9707ad836a3dea88d2961741470cb1a72c30,14,0,PYU-0008,True,no_executable_logic,0,none,logs/PYU-0008_stdout.txt,logs/PYU-0008_stderr.txt
PY-0009,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/11_CODIGO_Y_REPRODUCIBILIDAD/Geometry_Omega_Charged_Pulsation_BVP_v14_2026-07-31.py,9e8fa983a8e74a9622d95e9dcaca2e92ad9f70914c012dd5d60034fc5e491184,182,1,PYU-0016,True,expected_interface_guard,1,none,logs/PYU-0016_stdout.txt,logs/PYU-0016_stderr.txt
PY-0010,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/11_CODIGO_Y_REPRODUCIBILIDAD/Geometry_Omega_Symbolic_Verifier_v13_2026-07-31.py,1069695438e99023b8dce64a50a178f17c21160765c490d4654a8769fc4a665e,61,30,PYU-0002,True,execution_failed,1,none,logs/PYU-0002_stdout.txt,logs/PYU-0002_stderr.txt
