metric	value
main_sha	6a3fad9c36a4795899bf0cbe1e00a608684ee0a5
branch_ahead_before_phase	203
projective_horizons_checked	8
collapse_to_full_subset_violations	0
conditioned_projectivity_nontrivial	0
ambient_exchangeable_projective_family	Bernoulli mixtures
Gibbs_special_case	mu=delta_p
