metric	value
audit_main_sha	6a3fad9c36a4795899bf0cbe1e00a608684ee0a5
branch_ahead_before_phase	216
branch_behind_before_phase	0
monotonic_sync_violations	0
global_scaling_invariance_violations	0
shared_channel_effect	R_AB=(a+k)/(b+k)
shared_count_correlation	rho=k/sqrt((a+k)(b+k))
cross_only_channel_changes_clock_ratio	0
