name	n	m	microstates	status	aut_size	edge_orbits	edge_orbit_sizes	observable_classes	microstate_aut_orbits	d_star_rel	predictive_classes	refinement_counts
cycle_6	6	6	64	EXACT	12	1	6	12	13	1	13	12->13
grid2_2x3	6	7	128	EXACT	4	3	1,2,4	22	48	1	48	22->48
grid3_2x2x2	8	12	4096	EXACT	48	1	12	72	144	2	144	72->132->144
grid4_hypercube_2^4	16	32	4294967296	NO_EJECUTADA_EXACT_LIMIT								
binary_tree_depth2	7	6	64	EXACT	8	2	2,4	14	21	1	21	14->21
complete_5	5	10	1024	EXACT	120	1	10	32	34	1	34	32->34
