metric	value
main_sha	6a3fad9c36a4795899bf0cbe1e00a608684ee0a5
branch_ahead_by_at_start	218
branch_behind_by_at_start	0
exp_absolute_gaps_gt_1e-12	2
exp_relative_gaps_gt_1e-12	0
exp_max_relative_gap	1.7687919881788597e-16
additive_observable_composition	forces exponential family h=exp(kX) under regularity
free_parameter	k remains unconstrained
bottleneck_depth_factorization	forces h(d)=1
result	partial no-go: no unique structure-to-clock law
