metric	value
directed_edges	49152
cross_edges	18096
internal_edges	31056
cross_depth1_violations	0
cross_delta_violations	0
lipschitz_violations	0
step_inequality_violations	0
step_class_(-1,0)	1548
step_class_(0,0)	27960
step_class_(0,1)	18096
step_class_(1,0)	1548
