metric	value
graphs	4096
total_stable_partitions	12562
average_stable_partitions_per_graph	3.06689453125
graphs_with_unique_coarsest_stable_partition	4096
graphs_where_SCC_partition_is_stable	3268
graphs_where_aut_orbit_partition_is_stable	4096
graphs_where_SCC_equals_unique_coarsest	2086
graphs_where_aut_orbit_equals_unique_coarsest	1090
graphs_where_both_equal_unique_coarsest	328
graphs_with_multiple_nontrivial_stable_partitions	1592
